habitability_score,stellar_compatibility_index,orbital_stability_factor,habitable_class,habitability_probability
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
0.0,0.0,0.0,0,9.999998e-07
